t,fe0,fe3,x,y,z,b,vel,spindle_on,spindle_rpm
39.566,0.005000,-0.000600,-3729.3750,-1236.5080,-159.2553,50203.708,0.6350,1,5675
39.767,0.005000,-0.005600,-3729.3750,-1236.3760,-159.2540,50213.504,0.6350,1,5675
39.968,0.005000,-0.000600,-3729.3750,-1236.2560,-159.2540,50222.765,0.6350,1,5675
40.169,0.005000,0.004400,-3729.3750,-1236.1280,-159.2540,50232.558,0.6350,1,5675
40.369,0.005000,0.004400,-3729.3750,-1236.0000,-159.2553,50242.395,0.6350,1,5675
40.570,0.005000,0.004400,-3729.3750,-1235.8760,-159.2553,50251.662,0.6350,1,5675
40.771,0.005000,0.004400,-3729.3750,-1235.7440,-159.2553,50261.405,0.6350,1,5675
40.971,0.005000,-0.000600,-3729.3750,-1235.6160,-159.2553,50271.108,0.6350,1,5675
41.172,0.005000,-0.000600,-3729.3750,-1235.4880,-159.2553,50280.845,0.6350,1,5675
41.372,0.005000,-0.000600,-3729.3750,-1235.3680,-159.2566,50290.206,0.6350,1,5675
41.572,0.005000,-0.000600,-3729.3750,-1235.2440,-159.2566,50299.901,0.6350,1,5675
41.774,0.005000,-0.000600,-3729.3750,-1235.1160,-159.2566,50309.645,0.6350,1,5675
41.974,0.005000,-0.000600,-3729.3750,-1234.9840,-159.2578,50319.390,0.6350,1,5675
42.175,0.005000,-0.000600,-3729.3750,-1234.8600,-159.2578,50328.654,0.6350,1,5675
42.375,0.005000,0.004400,-3729.3750,-1234.7280,-159.2578,50338.495,0.6350,1,5675
42.576,0.005000,0.004400,-3729.3750,-1234.6000,-159.2578,50347.999,0.6350,1,5675
42.777,0.005000,0.004400,-3729.3750,-1234.4680,-159.2578,50357.790,0.6350,1,5675
42.978,0.005000,-0.000600,-3729.3750,-1234.3360,-159.2566,50367.581,0.6350,1,5675
43.179,0.005000,-0.000600,-3729.3750,-1234.2160,-159.2553,50376.846,0.6350,1,5675
43.379,0.005000,-0.000600,-3729.3750,-1234.0880,-159.2553,50386.542,0.6350,1,5675
43.579,0.005000,-0.000600,-3729.3750,-1233.9560,-159.2553,50396.285,0.6350,1,5675
43.780,0.005000,0.004400,-3729.3750,-1233.8360,-159.2553,50405.742,0.6350,1,5675
43.981,0.005000,0.004400,-3729.3750,-1233.7040,-159.2553,50415.533,0.6350,1,5675
