# t ex ey ez ew A C jx jy jz
1786079833.863 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079834.021 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079834.179 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079834.340 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079834.501 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079834.658 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079834.817 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079834.980 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079835.140 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079835.299 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079835.458 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079835.619 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079835.779 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079835.938 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079836.098 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079836.256 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079836.416 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079836.575 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079836.734 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079836.895 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079837.057 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079837.221 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079837.379 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079837.541 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079837.700 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079837.861 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079838.019 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079838.181 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079838.341 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079838.500 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079838.661 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079838.824 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079838.991 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079839.151 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079839.310 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079839.470 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
