# t_epoch pid.x.err pid.y.err pid.z.err pid.w.err joint2.ferr joint2.posfb joint4.posfb
1786041501.474 0.01 0.0123 0.006441015 0.0076 0.006441015 -423.8152 -1.660063e-08 
1786041501.643 0.015 0.0123 0.007711015 0.0126 0.007711015 -423.8164 -1.660063e-08 
1786041501.805 0.01 0.0123 0.007711015 0.0076 0.007711015 -423.8164 -1.660063e-08 
1786041501.968 0.01 0.0123 0.007711015 0.0076 0.007711015 -423.8164 -1.660063e-08 
1786041502.135 0.01 0.0123 0.006441015 0.0126 0.006441015 -423.8152 -1.660063e-08 
1786041502.305 0.01 0.0123 0.007911001 0.0076 0.007911001 -423.8166 -1.660063e-08 
1786041502.471 0.009998407 0.0005338397 -0.004731029 0.01239841 -0.004731029 -424.0757 -0.05469998 
1786041502.640 0.009998407 0.01253384 -0.0006913389 0.007398407 -0.0006913389 -424.646 -0.05469998 
1786041502.815 0.009998407 0.00853384 0.004141686 0.007398407 0.004141686 -425.2175 -0.05469998 
1786041503.011 0.009998407 0.01253384 0.006444669 0.01239841 0.006444669 -425.8664 -0.05469998 
1786041503.203 0.009998407 0.01253384 0.007317658 0.01239841 0.007794322 -426.5078 -0.05469998 
1786041503.377 0.009998407 0.00853384 0.01641406 0.007398407 0.01641406 -426.9853 -0.05469998 
1786041503.561 0.009998407 0.00853384 -0.0007491186 0.01239841 -0.0007491186 -426.7072 -0.05469998 
1786041503.744 0.009998407 0.00853384 0.002374196 0.007398407 0.002374196 -426.7415 -0.05469998 
1786041503.918 0.004998407 0.00853384 0.005187513 0.007398407 0.005187513 -426.7719 -0.05469998 
1786041504.078 0.009998407 0.01253384 0.00700083 0.01239841 0.00700083 -426.8024 -0.05469998 
1786041504.241 0.004998407 0.00853384 0.006837482 0.007398407 0.006837482 -426.8291 -0.05469998 
1786041504.420 0.009998407 0.00853384 0.006277467 0.007398407 0.006277467 -426.857 -0.05469998 
1786041504.600 0.009998407 0.00853384 0.005444144 0.007398407 0.005444144 -426.8632 -0.05469998 
1786041504.782 0.004998407 0.00853384 0.02116144 0.007398407 0.02116144 -425.7011 -0.05469998 
1786041504.973 0.009998585 -0.01339351 -0.02316794 0.01239858 -0.02316794 -423.8037 -0.04863801 
1786041505.168 0.005 0.0083 -0.004988979 0.0076 -0.004988979 -423.8037 9.541763e-09 
1786041505.339 0.00500002 0.001486718 -0.004969058 0.007600036 -0.004969058 -423.8038 0.00118998 
1786041505.507 -0.009967458 -0.03068742 -0.01079058 -0.01236746 -0.01079058 -423.8586 1.117547 
1786041505.701 -0.01492729 -0.01572767 -0.01085872 -0.01732707 -0.01085872 -424.1024 2.504976 
1786041505.877 -0.01488717 -0.01736419 -0.01035701 -0.01228717 -0.01035701 -424.5278 3.87753 
1786041506.071 -0.009847759 -0.01309634 -0.009405433 -0.01724754 -0.009405433 -425.1324 5.242281 
1786041506.272 -0.0148015 -0.01512397 -0.009875145 -0.0122015 -0.009875145 -426.062 6.832358 
1786041506.463 -0.01476187 -0.01225258 -0.008836521 -0.01216165 -0.008836521 -427.0678 8.212423 
1786041506.657 -0.009719368 -0.01647831 -0.01040093 -0.01211937 -0.009799426 -428.3455 9.697431 
1786041506.835 -0.009679837 -0.01023532 -0.009266027 -0.01207984 -0.009266027 -429.7209 11.0624 
1786041507.044 -0.009637294 -0.01540272 -0.01000789 -0.01203729 -0.01000789 -431.4189 12.55484 
1786041507.230 -0.009596057 -0.007219202 -0.009953251 -0.01199606 -0.009953251 -433.2781 14.01002 
1786041507.410 -0.0145574 -0.01495914 -0.009775689 -0.0119574 -0.009775689 -435.2149 15.38226 
1786041507.599 -0.009519197 -0.0102514 -0.01004788 -0.0119192 -0.01118 -437.3625 16.785 
1786041507.779 -0.009480027 -0.01127922 -0.01122137 -0.006880027 -0.01122137 -439.6662 18.1574 
1786041507.972 -0.009441583 -0.008862619 -0.01034776 -0.006841377 -0.01034776 -442.1885 19.55988 
1786041508.173 0.005569184 0.03024766 0.009679925 0.008169184 0.01015659 -443.2476 19.9453 
1786041508.341 0.01556918 0.02224766 0.01070295 0.01816918 0.01070295 -443.8141 19.9453 
1786041508.521 0.01556918 0.02224766 0.0104593 0.01816918 0.0104593 -444.4046 19.9453 
1786041508.695 0.01556918 0.01824766 0.00973898 0.01816918 0.00973898 -444.9939 19.9453 
1786041508.856 0.01556918 0.01824766 0.009488688 0.01816918 0.009488688 -445.5336 19.9453 
