sec,B,line
50.264,246.2434,78
50.314,246.4410,78
50.364,246.6383,78
50.415,246.8390,78
50.465,247.0321,78
50.515,247.1865,78
50.565,247.3834,78
50.615,247.5767,78
50.665,247.7783,78
50.715,247.9760,78
50.766,248.1698,78
50.816,248.3676,78
50.866,248.5650,78
50.916,248.7618,78
50.966,248.9587,78
51.017,249.1556,78
51.067,249.3526,78
51.117,249.5496,78
51.168,249.7439,78
51.218,249.9411,78
51.268,250.0962,78
51.318,250.2976,78
51.369,250.4992,78
51.419,250.6923,78
51.469,250.8892,78
51.520,251.0977,78
51.570,251.2946,78
51.620,251.4877,78
51.671,251.6852,78
51.721,251.8791,78
51.771,252.0806,78
51.821,252.2744,78
51.871,252.4721,78
51.922,252.6692,78
51.972,252.8235,78
52.022,253.0243,78
52.073,253.2212,78
52.123,253.4143,78
52.173,253.6155,78
52.223,253.8093,78
52.273,254.0070,78
52.323,254.2008,78
52.374,254.3987,78
52.424,254.5957,78
52.475,254.7926,78
52.525,254.9858,78
52.575,255.1865,78
52.627,255.3834,78
52.677,255.5806,78
52.728,255.7821,78
52.778,255.9762,78
52.828,256.1737,78
52.878,256.3713,78
52.928,256.5263,78
52.979,256.7231,78
53.029,256.9162,78
53.079,257.1131,78
53.129,257.3101,78
53.179,257.5072,78
53.229,257.7008,78
53.280,257.8984,78
53.330,258.0922,78
53.380,258.2900,78
53.430,258.4875,78
53.480,258.6807,78
53.531,258.8775,78
53.581,259.0745,78
53.631,259.2677,78
53.681,259.4644,78
53.732,259.6581,78
53.782,259.8558,78
53.832,260.0534,78
53.882,260.2513,78
53.932,260.4139,78
53.983,260.6112,78
54.033,260.8120,78
54.084,261.0089,78
54.134,261.2057,78
54.184,261.4027,78
54.234,261.6000,78
54.285,261.8015,78
54.335,261.9992,78
54.385,262.1969,78
54.435,262.3907,78
54.486,262.5880,78
54.536,262.7425,78
54.586,262.9394,78
54.636,263.0939,78
54.687,263.3293,78
54.737,263.5264,78
54.787,263.7201,78
54.837,263.9178,78
54.887,264.1116,78
54.938,264.3171,78
54.988,264.5147,78
55.038,264.7116,78
55.089,264.9046,78
55.139,265.1016,78
55.189,265.2984,78
55.239,265.4915,78
55.289,265.6891,78
55.340,265.8869,78
55.390,266.0806,78
55.440,266.2783,78
55.490,266.4721,78
55.541,266.6306,78
55.591,266.8235,78
55.641,267.0206,78
55.691,267.2173,78
55.741,267.4142,78
55.792,267.6116,78
55.842,267.8092,78
55.893,268.0071,78
55.943,268.2008,78
55.993,268.3983,78
56.044,268.5958,78
56.094,268.7926,78
56.144,268.9857,78
56.195,269.1826,78
56.245,269.3796,78
56.296,269.5729,78
56.346,269.7705,78
56.397,269.9643,78
56.447,270.1620,78
56.497,270.3559,78
56.547,270.5611,78
56.597,270.7579,78
56.648,270.9124,78
56.698,271.1093,78
56.749,271.3062,78
56.799,271.4992,78
56.849,271.6969,78
56.901,271.8984,78
56.954,272.1349,78
57.005,272.3325,78
57.055,272.5302,78
57.106,272.6846,78
57.156,272.8854,78
57.206,273.0783,78
57.256,273.2753,78
57.306,273.4683,78
57.356,273.6621,78
57.407,273.8597,78
57.457,274.0535,78
57.508,274.2511,78
57.559,274.4489,78
57.609,274.6459,78
57.659,274.8466,78
57.709,275.0436,78
57.759,275.2445,78
57.812,275.4376,78
57.863,275.6349,78
57.913,275.8325,78
57.963,276.0303,78
58.014,276.2279,78
58.064,276.4256,78
58.114,276.6189,78
58.164,276.8158,78
58.215,277.0089,78
58.265,277.2059,78
58.315,277.3602,78
58.366,277.5612,78
58.416,277.7589,78
58.466,277.9526,78
58.516,278.1504,78
58.567,278.3480,78
58.618,278.5418,78
58.668,278.7386,78
58.718,278.9355,78
58.768,279.1286,78
58.819,279.3293,78
58.869,279.5264,78
58.919,279.7202,78
58.969,279.9178,78
59.020,280.1116,78
59.070,280.3056,78
59.120,280.5031,78
59.170,280.7000,78
59.221,280.8969,78
59.271,281.0938,78
59.321,281.2869,78
59.371,281.4837,78
59.421,281.6777,78
59.471,281.8713,78
59.522,282.0341,78
59.572,282.2279,78
59.622,282.4217,78
59.672,282.6227,78
59.722,282.8158,78
59.773,283.0166,78
59.824,283.2096,78
59.874,283.4066,78
59.924,283.6039,78
59.974,283.8054,78
60.025,283.9837,78
60.075,284.1812,78
60.125,284.3791,78
60.176,284.5765,78
60.226,284.7734,78
60.277,284.9857,78
60.327,285.1827,78
60.378,285.3795,78
60.428,285.5341,78
60.479,285.7356,78
60.530,285.9295,78
60.580,286.1310,78
60.630,286.3286,78
60.681,286.5263,78
60.731,286.7270,78
60.782,286.9200,78
60.832,287.1170,78
60.882,287.3140,78
60.933,287.5109,78
60.983,287.7083,78
61.034,287.9023,78
61.084,288.1040,78
61.134,288.3015,78
61.185,288.4954,78
61.235,288.6884,78
61.285,288.8544,78
61.336,289.0514,78
61.386,289.2483,78
61.439,289.4838,78
61.489,289.6426,78
61.542,289.8481,78
61.592,290.0573,78
61.643,290.2549,78
61.693,290.4566,78
61.744,290.6574,78
61.794,290.8544,78
61.844,291.0167,78
61.895,291.2135,78
61.945,291.4105,78
61.996,291.6118,78
62.046,291.8093,78
62.097,292.0108,78
62.147,292.2085,78
62.198,292.4062,78
62.249,292.6037,78
62.299,292.8002,78
62.349,293.0012,78
62.402,293.1942,78
62.453,293.3912,78
62.504,293.6000,78
62.554,293.7976,78
62.605,293.9566,78
62.656,294.1930,78
62.706,294.3520,78
62.756,294.5494,78
62.806,294.7502,78
62.858,294.9470,78
62.909,295.1401,78
62.960,295.3411,78
63.010,295.5497,78
63.061,295.7550,78
63.111,295.9141,78
63.162,296.1154,78
63.213,296.3209,78
63.263,296.5184,78
63.313,296.7193,78
63.363,296.9162,78
63.416,297.1093,78
63.466,297.3062,78
63.516,297.4993,78
63.567,297.6969,78
63.617,297.8946,78
63.668,298.1038,78
63.718,298.3015,78
63.768,298.4604,78
63.818,298.6652,78
63.869,298.8583,78
