# t_epoch pid.x.err pid.y.err pid.z.err pid.w.err joint2.ferr joint2.posfb joint4.posfb j2.blash-filt j3.blash-filt
1786042791.229 -0.005 1.891751e-13 -0.005079997 -0.005 -0.005079997 -423.7986 -0.0088 0 -0.0126 
1786042791.417 -0.005 1.891751e-13 -0.005079997 -0.01 -0.005079997 -423.7986 -0.0088 0 -0.0126 
1786042791.593 -0.005 1.891751e-13 -0.005079997 -0.005 -0.005079997 -423.7986 -0.0088 0 -0.0126 
1786042791.767 -0.005 1.891751e-13 -0.005079997 -0.005 -0.005079997 -423.7986 -0.0088 0 -0.0126 
1786042791.931 -0.005 1.891751e-13 -0.005079997 -0.005 -0.005079997 -423.7986 -0.0088 0 -0.0126 
1786042792.100 -0.005 1.891751e-13 -0.005079997 -0.005 -0.005079997 -423.7986 -0.0088 0 -0.0126 
1786042792.263 -0.005 1.891751e-13 -0.005079997 -0.005 -0.005079997 -423.7986 -0.0088 0 -0.0126 
1786042792.425 -0.005 1.891751e-13 -0.006349997 -0.01 -0.006349997 -423.7974 -0.0088 0 -0.0126 
1786042792.585 -0.005 1.891751e-13 -0.006349997 -0.005 -0.006349997 -423.7974 -0.0088 0 -0.0126 
1786042792.749 -0.005 -0.004 -0.005079997 -0.005 -0.005079997 -423.7986 -0.0088 0 -0.0126 
1786042792.930 -0.005 -0.004 -0.006349997 -0.005 -0.005079997 -423.7986 -0.0088 0 -0.0126 
1786042793.112 -0.005 -0.004 -0.006349997 -0.01 -0.006349997 -423.7974 -0.0088 0 -0.0126 
1786042793.294 -0.005 -0.004 -0.006349997 -0.01 -0.006349997 -423.7974 -0.0088 0 -0.0126 
1786042793.458 -0.005 -0.004 -0.006349997 -0.005 -0.006349997 -423.7974 -0.0088 0 -0.0126 
1786042793.623 -0.005 -0.004 -0.005079997 -0.01 -0.005079997 -423.7986 -0.0088 0 -0.0126 
1786042793.783 -0.01 -0.008 -0.005079997 -0.005 -0.005079997 -423.7986 -0.0088 0 -0.0126 
1786042793.957 -0.005 -0.004 -0.005079997 -0.005 -0.005079997 -423.7986 -0.0088 0 -0.0126 
1786042794.127 -0.005 -0.004 -0.006349997 -0.01 -0.006349997 -423.7974 -0.0088 0 -0.0126 
1786042794.302 -0.005 -0.008 -0.005079997 -0.005 -0.005079997 -423.7986 -0.0088 0 -0.0126 
1786042794.475 -0.005 -0.004 -0.005079997 -0.01 -0.005079997 -423.7986 -0.0088 0 -0.0126 
